Id,SalePrice
1461,144000
1462,157900
1463,181000
1464,181000
1465,179200
1466,211000
1467,147000
1468,188000
1469,180000
1470,129000
1471,191000
1472,112000
1473,100000
1474,148500
1475,148500
1476,325000
1477,255000
1478,280000
1479,320000
1480,315000
1481,285000
1482,202500
1483,260000
1484,213500
1485,184000
1486,219500
1487,315000
1488,232000
1489,194000
1490,190000
1491,195000
1492,118500
1493,205000
1494,325000
1495,180000
1496,196000
1497,146000
1498,151000
1499,155000
1500,151000
1501,177500
1502,155000
1503,280000
1504,230000
1505,185000
1506,167000
1507,173000
1508,165000
1509,159500
1510,139000
1511,143000
1512,167000
1513,158000
1514,200000
1515,135000
1516,141000
1517,148000
1518,145000
1519,213000
1520,132500
1521,142000
1522,127500
1523,118500
1524,133000
1525,145000
1526,145000
1527,86000
1528,110000
1529,155000
1530,167000
1531,105000
1532,87000
1533,129900
1534,132000
1535,147000
1536,124500
1537,100000
1538,140000
1539,132000
1540,137000
1541,147000
1542,117000
1543,155000
1544,55000
1545,105000
1546,120000
1547,115000
1548,120000
1549,110000
1550,87000
1551,91000
1552,115000
1553,112000
1554,128000
1555,180500
1556,160000
1557,125000
1558,105000
1559,128000
1560,144000
1561,136500
1562,130000
1563,123000
1564,180000
1565,135000
1566,215000
1567,81000
1568,215000
1569,168000
1570,135000
1571,135000
1572,153000
1573,320000
1574,143000
1575,241500
1576,175000
1577,185000
1578,112000
1579,148000
1580,191000
1581,156000
1582,123000
1583,315000
1584,236000
1585,136500
1586,108000
1587,112000
1588,154000
1589,135000
1590,149000
1591,129900
1592,189000
1593,132500
1594,133900
1595,144000
1596,256000
1597,145000
1598,194500
1599,239000
1600,189000
1601,100000
1602,110000
1603,106500
1604,275000
1605,250000
1606,171000
1607,200000
1608,260000
1609,194000
1610,211000
1611,168000
1612,145000
1613,181000
1614,148500
1615,106000
1616,88000
1617,119500
1618,120500
1619,112000
1620,138000
1621,126000
1622,152000
1623,315000
1624,187500
1625,110000
1626,170000
1627,185000
1628,255000
1629,189000
1630,275000
1631,191000
1632,278000
1633,168500
1634,181000
1635,174000
1636,176000
1637,175000
1638,190000
1639,180000
1640,250000
1641,181000
1642,226000
1643,230000
1644,248000
1645,149900
1646,185000
1647,157000
1648,134000
1649,149900
1650,120500
1651,120500
1652,83000
1653,118000
1654,155000
1655,155000
1656,155000
1657,155000
1658,146000
1659,155000
1660,136500
1661,239000
1662,325000
1663,320000
1664,239000
1665,239000
1666,315000
1667,239000
1668,305900
1669,270000
1670,320000
1671,240000
1672,315000
1673,280000
1674,232000
1675,196000
1676,196000
1677,224000
1678,385000
1679,315000
1680,266000
1681,325000
1682,215000
1683,196000
1684,174000
1685,174000
1686,199900
1687,167500
1688,193000
1689,190000
1690,215000
1691,174000
1692,225000
1693,167500
1694,173000
1695,189000
